epoch,train_loss,train_acc,val_loss,val_acc
1,0.0103,96.7,0.0099,97.23
2,0.0057,98.07,0.0106,97.36
3,0.0044,98.43,0.0162,97.51
4,0.0035,98.77,0.0121,97.04
5,0.0027,99.02,0.0166,97.3
6,0.0021,99.22,0.018,97.59
7,0.0015,99.44,0.0217,97.6
8,0.0013,99.52,0.0256,97.62
9,0.0009,99.66,0.029,97.7
10,0.0008,99.7,0.0284,97.67
11,0.0026,99.05,0.0146,97.21
12,0.0022,99.18,0.0207,97.05
13,0.002,99.24,0.0174,97.44
14,0.0018,99.34,0.0221,97.58
15,0.0015,99.46,0.0208,97.56
16,0.0015,99.47,0.0191,97.72
17,0.0011,99.58,0.0262,97.65
18,0.001,99.63,0.0249,97.53
19,0.0008,99.7,0.0283,97.64
20,0.0008,99.71,0.0297,97.66
21,0.0006,99.77,0.0258,97.54
22,0.0005,99.81,0.0384,97.72
23,0.0005,99.83,0.0369,97.76
24,0.0003,99.88,0.0436,97.74
25,0.0003,99.9,0.0402,97.77
26,0.0002,99.92,0.0459,97.74
